id,fecha,medio_transporte,empresa_bus,linea_metro,barrio,review_text,rating,tiempo_espera_min,duracion_viaje_min,likes,respuestas
78a50aa3,2024-03-07 02:25:00,Trolebús,,,Independencia,"Viajé por metrotren, la señalética estaba clara",4.0,5,32,4,0
892777fd,2025-06-02 08:06:00,Trolebús,,,San Miguel,"Viajé por metrotren, en mediodía con clima nublado, ruidos molestos, deberían mejorar el servicio",1.0,23,27,5,2
6365aee4,2024-07-11 07:03:00,Metro,,L4A,Maipú,"Tomé red bus en independencia, en hora punta tarde con clima soleado, el chofer manejaba brusco",1.0,21,40,10,1
2942b6c6,2025-05-28 04:38:00,Red Bus,Redbus,,Cerrillos,Me tocó ir de pie parte del trayecto,3.0,12,37,4,0
741fa6f1,2024-11-16 05:53:00,Bus Interurbano,Redbus,,San Miguel,"Tomé metro en maipú, bajó mucha gente en la estación",3.0,1,34,7,1
4e363c4b,2025-01-19 00:00:00,Metro,,L4,Ñuñoa,"En mediodía con clima soleado, el bus llegó a tiempo",4.0,16,53,4,1
6b174fe4,2024-05-20 01:32:00,MetroTren,,,Conchalí,"Tomé bus interurbano en renca, en noche con clima viento, ruidos molestos",1.0,6,26,6,0
1ca7c449,2024-11-01 06:54:00,MetroTren,,,Peñalolén,"Viajé por red bus, en noche con clima lluvia, el conductor fue amable",4.0,19,24,6,1
aba260e1,2025-01-05 00:06:00,MetroTren,,,Renca,"Viajé por metro, en hora punta mañana con clima viento, hubo fiscalización",3.0,11,25,0,0
168a132f,2024-09-18 22:28:00,Bus Interurbano,Redbus,,Maipú,"Viajé por red bus, poca frecuencia",2.0,12,28,11,1
0c49a5a6,2024-01-05 17:53:00,Metro,,L4,Renca,El chofer manejaba brusco,2.0,18,23,12,2
ee770f04,2024-03-21 14:58:00,Red Bus,STP,,Pedro Aguirre Cerda,No hubo novedades,3.0,9,41,1,3
943af289,2025-01-27 16:44:00,Metro,,L1,Santiago Centro,"Tomé metro en la pintana, en noche con clima lluvia, me sentí inseguro por discusión entre pasajeros",1.0,21,20,2,0
53ea12d4,2025-04-14 22:36:00,Trolebús,,,Huechuraba,"El tiempo de espera fue bajo, recomiendo la ruta",5.0,9,26,3,2
49170945,2024-10-21 16:17:00,Metro,,L6,Ñuñoa,"Tomé red bus en independencia, en noche con clima nublado, el bus se saltó la parada",1.0,19,39,9,2
49613c4e,2025-03-03 19:55:00,Bus Interurbano,Alsacia,,Puente Alto,"La señalética estaba clara, recomiendo la ruta",5.0,9,47,2,1
dc1eaf73,2024-11-26 01:16:00,Bus Interurbano,Metbus,,Cerrillos,"En hora punta tarde con clima nublado, el bus llegó a tiempo, recomiendo la ruta",4.0,13,32,3,1
ea72d06b,2024-03-18 11:22:00,Bus Interurbano,Metbus,,La Florida,"Viajé por metro, en hora punta tarde con clima nublado, cambio de andén de último minuto",3.0,15,37,9,0
ea6be502,2024-01-07 01:25:00,MetroTren,,,La Pintana,"Tomé metrotren en renca, el conductor fue amable",4.0,12,30,8,1
93881995,2024-09-03 15:18:00,Red Bus,Alsacia,,Recoleta,Muy buen servicio,5.0,11,28,7,0
fa963dbe,2024-08-20 20:54:00,MetroTren,,,,"Viajé por bus interurbano, en hora punta mañana con clima nublado, el tiempo de espera fue bajo, recomiendo la ruta",4.0,8,53,8,0
26e05747,2024-02-02 07:01:00,Metro,,L5,Las Condes,Me sentí seguro durante el viaje,4.0,1,32,2,0
7a7eb543,2024-06-30 04:35:00,MetroTren,,,Providencia,"Viajé por metro, el metro estaba limpio",4.0,4,39,5,0
cbdfe994,2025-03-06 20:22:00,MetroTren,,,Cerrillos,"Viajé por metro, mal olor en el vagón",2.0,19,39,5,1
669ecabc,2025-06-06 00:38:00,Red Bus,STP,,Quilicura,"Demora excesiva, deberían mejorar el servicio",1.0,20,37,2,2
0cd2b886,2024-11-03 18:18:00,Bus Interurbano,Vule,,Independencia,"Tomé bus interurbano en san bernardo, los asientos estaban disponibles, recomiendo la ruta",4.0,9,37,4,1
d21bb90c,2024-01-30 11:58:00,Red Bus,STP,,Estación Central,"Tomé red bus en conchalí, ruidos molestos",1.0,25,21,5,1
a0ea7d6d,2024-05-28 10:50:00,Metro,,L1,Maipú,No hubo novedades,3.0,11,49,9,0
3fae2539,2025-04-25 16:49:00,Red Bus,Vule,,Recoleta,"Viajé por metrotren, me sentí seguro durante el viaje, recomiendo la ruta",4.0,7,20,10,0
800a3b57,2024-09-04 00:12:00,Red Bus,Alsacia,,San Bernardo,"Viajé por trolebús, demora excesiva",2.0,21,39,4,1
9bdf865f,2024-01-03 10:28:00,Metro,,L6,Peñalolén,"Viajé por metro, la señalética estaba clara, recomiendo la ruta",4.0,14,44,9,0
9ef5c96b,2024-05-03 09:10:00,Metro,,L6,Maipú,"Tomé bus interurbano en conchalí, la aplicación funcionó perfecto, recomiendo la ruta",5.0,15,21,7,0
a3f73441,2024-10-30 15:48:00,Bus Interurbano,Alsacia,,Maipú,"Tomé metrotren en maipú, los asientos estaban disponibles",4.0,7,51,10,0
68d77c55,2024-06-07 21:49:00,MetroTren,,,Peñalolén,"Viajé por trolebús, en mediodía con clima nublado, ruidos molestos",2.0,14,17,0,0
9b819181,2024-12-13 09:11:00,MetroTren,,,Estación Central,"Tomé bus interurbano en san bernardo, en hora punta mañana con clima soleado, el bus se saltó la parada, deberían mejorar el servicio",2.0,14,40,13,1
aed75bd4,2024-03-06 18:20:00,Trolebús,,,Las Condes,"Tomé bus interurbano en estación central, bajó mucha gente en la estación",3.0,7,47,5,2
55333854,2025-06-26 14:13:00,Red Bus,Metbus,,Las Condes,"Viajé por bus interurbano, el bus se saltó la parada",1.0,15,18,0,1
5c8c5f0d,2024-07-04 21:53:00,Red Bus,Alsacia,,Ñuñoa,"Viajé por metro, el viaje fue normal",3.0,14,40,9,1
ec248862,2025-03-29 21:18:00,Red Bus,Alsacia,,Pedro Aguirre Cerda,"En noche con clima soleado, el aire acondicionado no funcionaba",1.0,14,44,9,0
69754710,2025-05-20 19:59:00,Trolebús,,,Conchalí,"En hora punta tarde con clima lluvia, no hubo novedades",3.0,12,39,0,1
89e17a18,2025-02-27 03:53:00,Red Bus,Alsacia,,Estación Central,"En hora punta mañana con clima viento, el chofer manejaba brusco",2.0,13,37,2,1
d205fcb5,2024-09-28 09:28:00,Bus Interurbano,STP,,Santiago Centro,"Viajé por metro, en hora punta tarde con clima soleado, bajó mucha gente en la estación",3.0,9,31,8,2
356e80ad,2024-11-19 17:50:00,MetroTren,,,Independencia,"Tomé metro en independencia, en hora punta tarde con clima soleado, el conductor fue amable",4.0,10,37,2,0
1e7b651b,2024-08-23 02:54:00,Bus Interurbano,Alsacia,,Maipú,"Tomé metro en lo barnechea, sistema de pago falló, deberían mejorar el servicio",2.0,19,37,4,0
f76830c4,2024-07-08 17:29:00,Red Bus,Vule,,Independencia,"Viajé por red bus, el bus llegó a tiempo",5.0,15,31,0,0
aba260e1,2025-01-05 00:06:00,MetroTren,,,Renca,"Viajé por metro, en hora punta mañana con clima viento, hubo fiscalización",3.0,11,25,0,0
37a40629,2025-04-05 15:45:00,MetroTren,,,Quilicura,"En hora punta mañana con clima soleado, el metro estaba limpio, recomiendo la ruta",5.0,12,32,6,0
c224f2fa,2024-03-01 01:02:00,Metro,,L1,Pedro Aguirre Cerda,"Tomé metrotren en las condes, en mediodía con clima viento, el aire acondicionado estaba adecuado",5.0,2,41,9,1
56014a7b,2025-03-06 02:30:00,Red Bus,Subus,,San Bernardo,"Viajé por bus interurbano, el chofer manejaba brusco, deberían mejorar el servicio",1.0,9,22,8,0
17732376,2024-09-23 10:49:00,MetroTren,,,Las Condes,"Tomé metro en macul, en hora punta tarde con clima viento, muy buen servicio",5.0,8,30,7,1
50271eef,2025-02-17 16:12:00,Trolebús,,,Lo Barnechea,"Viajé por metro, en mediodía con clima soleado, el tiempo de espera fue bajo, recomiendo la ruta",4.0,9,40,8,0
59a3c1da,2024-05-03 18:59:00,MetroTren,,,Las Condes,"Tomé bus interurbano en la pintana, hubo un leve retraso",3.0,5,27,7,2
efca7e41,2024-02-10 01:22:00,MetroTren,,,San Bernardo,"Tomé red bus en renca, bajó mucha gente en la estación",3.0,13,12,9,0
3cbe13aa,2024-05-22 10:33:00,Metro,,L3,Peñalolén,El viaje fue normal,3.0,11,52,0,0
cd8f8d26,2025-04-22 21:08:00,MetroTren,,,Las Condes,"Viajé por trolebús, en noche con clima viento, hubo una detención prolongada sin explicación",2.0,5,31,0,0
6bbd5889,2024-03-27 09:03:00,Red Bus,Metbus,,Recoleta,"Tomé trolebús en puente alto, me tocó ir de pie parte del trayecto",3.0,12,33,0,0
3042e5ca,2024-08-10 23:03:00,Metro,,L5,La Pintana,"Tomé metrotren en quilicura, en hora punta mañana con clima soleado, no hubo novedades",3.0,8,35,9,2
7ca1449b,2024-05-29 22:44:00,MetroTren,,,Independencia,"Viajé por metrotren, cambio de andén de último minuto",3.0,6,26,2,0
c86b7e52,2025-04-03 17:13:00,Trolebús,,,Las Condes,"Tomé metro en estación central, el chofer manejaba brusco",2.0,23,42,4,0
7227b69a,2024-04-27 09:14:00,Trolebús,,,Cerrillos,El bus se saltó la parada,1.0,11,37,4,0
95e3eec6,2024-09-18 08:15:00,Trolebús,,,Recoleta,"En noche con clima lluvia, la aplicación funcionó perfecto, recomiendo la ruta",4.0,12,41,13,1
3ebf8d56,2025-04-17 07:15:00,Metro,,L3,Maipú,"Tomé red bus en macul, en noche con clima viento, poca frecuencia",2.0,24,38,2,1
d35429c3,2025-01-09 20:02:00,Bus Interurbano,Redbus,,San Miguel,"Tomé metrotren en macul, la aplicación funcionó perfecto",4.0,2,38,10,0
3f4d070a,2024-04-25 22:33:00,Bus Interurbano,Metbus,,San Bernardo,,4.0,4,21,0,0
129502a6,2024-12-16 17:59:00,Red Bus,Metbus,,Independencia,"Viajé por metro, en mediodía con clima lluvia, mal olor en el vagón",2.0,17,18,9,1
902ac158,2025-07-02 18:28:00,Trolebús,,,Ñuñoa,"Viajé por bus interurbano, sistema de pago falló, deberían mejorar el servicio",2.0,18,49,3,1
3ac51bee,2024-11-03 23:27:00,Metro,,L5,Las Condes,"Tomé red bus en conchalí, el aire acondicionado estaba adecuado, recomiendo la ruta",4.0,11,30,2,0
cec57d6f,2024-06-13 07:13:00,MetroTren,,,San Bernardo,"Tomé red bus en renca, el tiempo de espera fue bajo",5.0,8,39,11,0
e190e796,2024-10-25 07:37:00,Red Bus,Alsacia,,Conchalí,,2.0,20,18,5,2
2fe3b6eb,2025-01-20 04:19:00,Bus Interurbano,Subus,,Independencia,"Tomé metrotren en providencia, mal olor en el vagón",2.0,17,44,7,0
cb47cfed,2025-02-23 12:49:00,MetroTren,,,Pedro Aguirre Cerda,"Viajé por trolebús, en noche con clima soleado, la aplicación funcionó perfecto, recomiendo la ruta",4.0,3,23,4,0
a5d6216c,2025-03-26 18:40:00,Metro,,L6,Huechuraba,"Viajé por metro, la ruta fue rápida",,13,8,5,0
4aab50b4,2024-06-27 17:39:00,MetroTren,,,Puente Alto,"Viajé por metrotren, la aplicación funcionó perfecto",5.0,3,5,5,0
97c75ebf,2025-04-29 09:27:00,MetroTren,,,La Pintana,"Viajé por bus interurbano, en hora punta tarde con clima soleado, hubo un leve retraso",3.0,15,44,7,0
7453c822,2025-05-18 03:57:00,Red Bus,Metbus,,Quilicura,"Tomé metrotren en peñalolén, en hora punta mañana con clima nublado, sistema de pago falló",2.0,5,39,5,0
e14fe961,2024-06-29 09:55:00,Red Bus,Subus,,Maipú,"Tomé bus interurbano en la pintana, en hora punta mañana con clima viento, mal olor en el vagón",1.0,25,26,1,1
ed9f36f9,2024-08-18 12:54:00,Trolebús,,,La Florida,"Tomé bus interurbano en pedro aguirre cerda, mucha aglomeración",2.0,11,28,8,0
8c87533a,2024-03-30 20:46:00,Bus Interurbano,Metbus,,La Pintana,"En hora punta tarde con clima soleado, me sentí seguro durante el viaje, recomiendo la ruta",5.0,15,41,5,0
c588cd1a,2024-01-20 12:48:00,Bus Interurbano,Alsacia,,Macul,"Viajé por metro, en hora punta tarde con clima lluvia, mucha aglomeración",1.0,15,39,4,0
306b04db,2024-12-01 03:11:00,MetroTren,,,San Miguel,"Viajé por metro, en hora punta tarde con clima nublado, me sentí seguro durante el viaje",4.0,4,27,9,1
39652b6c,2025-04-20 10:40:00,Metro,,L2,Huechuraba,"Tomé bus interurbano en quilicura, en mediodía con clima nublado, el bus llegó a tiempo, recomiendo la ruta",5.0,10,39,4,0
4220161e,2025-03-29 16:03:00,MetroTren,,,Independencia,"En noche con clima soleado, el metro estaba limpio",4.0,4,46,10,0
4f78dd3c,2025-01-28 13:49:00,Trolebús,,,Maipú,"Tomé metrotren en ñuñoa, el aire acondicionado estaba adecuado",,0,34,0,1
b51fe752,2024-08-15 21:11:00,Red Bus,Alsacia,,Lo Barnechea,"Viajé por metrotren, en hora punta tarde con clima lluvia, los asientos estaban disponibles",4.0,18,39,12,0
31c57354,2024-11-09 03:35:00,Trolebús,,,Las Condes,Los asientos estaban disponibles,4.0,9,43,0,1
0ccac77c,2025-01-08 07:50:00,MetroTren,,,Providencia,"Tomé metro en ñuñoa, en mediodía con clima lluvia, no hubo novedades",3.0,20,46,5,0
64f2365b,2024-07-22 23:57:00,MetroTren,,,Independencia,"Tomé trolebús en renca, en noche con clima soleado, poca frecuencia, deberían mejorar el servicio",2.0,17,38,3,3
419b3e25,2024-09-28 03:43:00,Trolebús,,,Estación Central,"Viajé por bus interurbano, ruidos molestos",1.0,12,42,0,2
bad26745,2025-01-03 16:31:00,Red Bus,Metbus,,Estación Central,"Viajé por metrotren, el aire acondicionado no funcionaba",,12,29,3,1
762bda01,2024-12-05 15:09:00,Bus Interurbano,STP,,Recoleta,"En noche con clima lluvia, hubo una detención prolongada sin explicación",2.0,5,50,8,2
6145b77c,2024-05-23 02:57:00,Red Bus,Alsacia,,Lo Barnechea,"Viajé por metro, mal olor en el vagón",1.0,20,30,4,0
668dd7a6,2024-09-21 07:36:00,Metro,,L4,Pedro Aguirre Cerda,"Viajé por bus interurbano, la ruta fue rápida, recomiendo la ruta",5.0,8,31,7,0
a774010b,2024-08-09 23:18:00,Red Bus,Metbus,,Conchalí,"Tomé red bus en lo barnechea, en hora punta tarde con clima nublado, el conductor fue amable, recomiendo la ruta",4.0,16,35,9,1
1ef6221d,2024-06-01 17:30:00,Metro,,L4,San Bernardo,"La señalética estaba clara, recomiendo la ruta",4.0,10,49,0,2
5be178cf,2024-11-11 08:36:00,Trolebús,,,Huechuraba,"Tomé trolebús en providencia, bajó mucha gente en la estación",3.0,0,32,8,1
65fd08fb,2024-02-05 21:45:00,Trolebús,,,Quilicura,"Tomé metrotren en lo barnechea, el aire acondicionado estaba adecuado",5.0,10,38,8,0
42a02293,2024-02-20 00:00:00,Trolebús,,,Cerrillos,"Tomé red bus en san bernardo, mucha aglomeración",1.0,18,36,1,0
7f329ce7,2024-08-09 08:38:00,Trolebús,,,La Florida,La señalética estaba clara,4.0,12,40,6,1
4d3864ed,2025-02-01 09:28:00,MetroTren,,,Puente Alto,"Tomé red bus en la florida, en hora punta tarde con clima viento, la señalética estaba clara",4.0,3,43,4,2
21f5f73b,2024-04-05 13:32:00,Bus Interurbano,Alsacia,,Quilicura,"Viajé por metro, en mediodía con clima soleado, el viaje fue normal",3.0,14,33,8,0
41b2e7a0,2024-02-18 08:48:00,Bus Interurbano,Metbus,,San Bernardo,Cambio de andén de último minuto,3.0,2,37,0,0
b1442305,2024-05-09 18:30:00,Bus Interurbano,Redbus,,Renca,La aplicación funcionó perfecto,5.0,0,20,8,0
ad8867e8,2025-07-02 21:29:00,Metro,,L3,Lo Barnechea,"En noche con clima nublado, bajó mucha gente en la estación",3.0,10,21,7,1
96e48cf2,2025-03-28 18:20:00,Trolebús,,,Renca,"Viajé por metro, en hora punta tarde con clima lluvia, ruidos molestos, deberían mejorar el servicio",2.0,14,27,2,1
965a7012,2024-12-05 00:03:00,Metro,,L6,San Miguel,El metro estaba limpio,4.0,4,33,6,0
aeec6e98,2025-03-27 16:55:00,MetroTren,,,Recoleta,"Tomé trolebús en peñalolén, la ruta fue rápida",5.0,0,39,1,1
8776c3e3,2024-08-02 14:47:00,Red Bus,Alsacia,,Recoleta,"Viajé por metrotren, en hora punta tarde con clima viento, hubo un leve retraso",3.0,1,29,8,3
c52e3384,2025-01-14 00:38:00,Trolebús,,,San Bernardo,"Viajé por metro, en hora punta mañana con clima viento, sistema de pago falló",2.0,7,45,0,0
904c148a,2025-03-09 16:43:00,Metro,,L6,La Pintana,"Me sentí seguro durante el viaje, recomiendo la ruta",4.0,9,33,5,0
b991c3d2,2025-02-08 09:57:00,MetroTren,,,Renca,"Tomé red bus en las condes, la aplicación funcionó perfecto",5.0,9,33,7,0
b7027558,2024-10-02 15:13:00,Red Bus,Subus,,Maipú,"Tomé bus interurbano en san miguel, en mediodía con clima soleado, no hubo novedades",3.0,12,30,2,2
1b5127b0,2024-04-29 03:55:00,Trolebús,,,Lo Barnechea,"Viajé por red bus, en mediodía con clima lluvia, el aire acondicionado estaba adecuado",4.0,9,39,7,2
ff1b17fa,2025-03-13 04:45:00,MetroTren,,,Peñalolén,"Viajé por trolebús, mal olor en el vagón, deberían mejorar el servicio",2.0,29,41,5,0
01927628,2024-10-26 22:55:00,Red Bus,Alsacia,,Recoleta,"Tomé metro en santiago centro, el chofer manejaba brusco",2.0,20,34,8,0
2168541b,2024-07-25 09:24:00,Trolebús,,,San Bernardo,"En mediodía con clima soleado, muy buen servicio",5.0,2,31,6,1
aabd360d,2024-06-14 08:56:00,Red Bus,Metbus,,Las Condes,"Tomé trolebús en san bernardo, el aire acondicionado estaba adecuado",4.0,16,45,4,0
53b2517a,2024-12-10 22:53:00,Red Bus,Subus,,Las Condes,"Tomé trolebús en puente alto, hubo una detención prolongada sin explicación",2.0,20,27,9,0
f406e758,2025-01-14 04:22:00,Red Bus,Alsacia,,Providencia,"Tomé metrotren en la pintana, en hora punta tarde con clima viento, muy buen servicio, recomiendo la ruta",4.0,5,44,15,1
0fcd3cc1,2024-08-18 08:25:00,MetroTren,,,San Miguel,"Viajé por metro, la aplicación funcionó perfecto",5.0,15,31,7,1
7cdd4fb0,2024-12-26 16:37:00,Red Bus,Vule,,Lo Barnechea,"Viajé por bus interurbano, el aire acondicionado estaba adecuado, recomiendo la ruta",4.0,13,39,12,1
13c78f3c,2024-10-24 18:47:00,Trolebús,,,Peñalolén,"Viajé por bus interurbano, en mediodía con clima nublado, poca frecuencia",1.0,21,31,7,0
ee95ac3a,2025-01-24 15:09:00,MetroTren,,,Independencia,"Viajé por red bus, en noche con clima soleado, mucha aglomeración",2.0,16,13,5,1
711055ae,2025-04-09 19:09:00,Metro,,L4A,Ñuñoa,"Viajé por bus interurbano, hubo una detención prolongada sin explicación",2.0,22,45,2,1
5ffd88ba,2024-12-27 04:14:00,Metro,,L3,Conchalí,Cambio de andén de último minuto,3.0,12,29,5,0
f03f5c27,2024-02-05 10:52:00,MetroTren,,,Maipú,"Tomé metro en la pintana, el bus llegó a tiempo",4.0,0,26,9,1
e8015d14,2024-03-02 10:47:00,MetroTren,,,Macul,El chofer manejaba brusco,2.0,19,33,11,2
2c99d6ff,2024-12-28 03:43:00,MetroTren,,,San Bernardo,"Tomé red bus en renca, en mediodía con clima soleado, la señalética estaba clara, recomiendo la ruta",5.0,0,27,8,0
de1f6e47,2025-02-04 21:00:00,Bus Interurbano,STP,,La Florida,"Viajé por bus interurbano, la ruta fue rápida, recomiendo la ruta",4.0,6,36,4,0
17c549bb,2024-04-26 02:48:00,Metro,,L1,Providencia,,4.0,8,38,1,1
a72ad74a,2024-10-29 10:53:00,Bus Interurbano,Alsacia,,La Florida,"Viajé por metrotren, en mediodía con clima viento, demora excesiva",2.0,16,27,0,1
35c2bb63,2024-07-06 13:48:00,Metro,,L4A,Independencia,"Tomé bus interurbano en huechuraba, demora excesiva",1.0,18,35,5,0
7b2cf7d6,2024-01-17 21:06:00,Bus Interurbano,Metbus,,Estación Central,"Tomé metrotren en peñalolén, en hora punta tarde con clima soleado, mal olor en el vagón",2.0,17,34,2,1
67c8bced,2025-01-13 03:59:00,Red Bus,Vule,,Conchalí,"La señalética estaba clara, recomiendo la ruta",5.0,8,38,5,0
0aef3130,2024-02-26 00:27:00,Metro,,L3,Conchalí,"Tomé trolebús en renca, el metro estaba limpio",4.0,13,27,7,0
6f41a4f8,2024-02-15 09:42:00,Bus Interurbano,Redbus,,La Florida,Los asientos estaban disponibles,5.0,9,33,6,1
5a0ffb39,2024-07-27 06:56:00,MetroTren,,,Las Condes,"Tomé metro en las condes, en hora punta mañana con clima viento, demora excesiva, deberían mejorar el servicio",1.0,22,45,7,1
685de5f7,2024-05-10 05:49:00,Metro,,L4A,La Pintana,"Viajé por trolebús, la señalética estaba clara, recomiendo la ruta",4.0,6,36,5,1
1fd22ed1,2024-06-28 12:18:00,Trolebús,,,Recoleta,"Tomé metrotren en quilicura, en hora punta mañana con clima nublado, hubo fiscalización",3.0,6,24,4,1
ee4fc8ca,2025-02-13 13:23:00,Trolebús,,,La Pintana,"En hora punta tarde con clima soleado, el tiempo de espera fue bajo",5.0,5,26,9,0
e8b07d76,2025-03-22 10:34:00,Metro,,L1,La Pintana,"Viajé por trolebús, en hora punta mañana con clima viento, la señalética estaba clara",4.0,3,33,10,2
7f6e13ec,2025-06-14 04:48:00,Trolebús,,,Recoleta,"Viajé por metrotren, poca frecuencia",2.0,24,16,7,1
ef76fd74,2025-03-23 18:23:00,MetroTren,,,Conchalí,"En hora punta tarde con clima nublado, me tocó ir de pie parte del trayecto",3.0,13,43,3,2
8d654668,2025-03-23 22:59:00,MetroTren,,,Renca,"Viajé por metrotren, en hora punta tarde con clima nublado, la aplicación funcionó perfecto",4.0,8,39,6,1
77db6d0c,2025-02-27 11:06:00,Trolebús,,,Santiago Centro,"Tomé bus interurbano en recoleta, en hora punta mañana con clima soleado, la ruta fue rápida",4.0,8,25,7,0
9fe8b7f3,2024-07-06 17:40:00,Bus Interurbano,STP,,Santiago Centro,"Viajé por red bus, en hora punta mañana con clima lluvia, los asientos estaban disponibles, recomiendo la ruta",4.0,7,35,5,0
a17e1285,2025-05-03 20:06:00,Metro,,L6,Lo Barnechea,,5.0,15,42,4,1
e2c75985,2024-06-15 03:56:00,Bus Interurbano,Alsacia,,Providencia,"En mediodía con clima lluvia, me tocó ir de pie parte del trayecto",3.0,12,28,2,0
f467de86,2025-05-18 03:11:00,Metro,,L4,Lo Barnechea,"Viajé por red bus, los asientos estaban disponibles",5.0,5,43,0,0
3a9dafa1,2025-02-01 21:07:00,Trolebús,,,Puente Alto,"Tomé metro en macul, en mediodía con clima nublado, mal olor en el vagón",2.0,21,33,1,0
a9867c70,2024-04-27 18:06:00,Trolebús,,,Las Condes,"Viajé por metrotren, bajó mucha gente en la estación",3.0,7,35,5,0
8814c2b3,2025-01-29 00:40:00,Red Bus,Vule,,Las Condes,"Viajé por metro, en hora punta tarde con clima soleado, la aplicación funcionó perfecto, recomiendo la ruta",4.0,9,27,5,0
2abf8653,2025-03-30 07:14:00,Bus Interurbano,STP,,Ñuñoa,"Viajé por trolebús, hubo fiscalización",,11,36,0,0
f406e758,2025-01-14 04:22:00,Red Bus,Alsacia,,Providencia,"Tomé metrotren en la pintana, en hora punta tarde con clima viento, muy buen servicio, recomiendo la ruta",4.0,5,44,15,1
0198d1f6,2024-07-12 23:34:00,Bus Interurbano,Metbus,,Conchalí,"Tomé metrotren en recoleta, en mediodía con clima lluvia, la aplicación funcionó perfecto",4.0,13,21,7,1
e0e71dbd,2025-06-22 23:34:00,Trolebús,,,La Pintana,,2.0,13,37,9,1
